1646915216.936662000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52420 | dst 23.73.140.141 : 443"
1646915217.150682000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52421 | dst 17.167.200.72 : 443"
1646915217.311334000, Interface, TLS,"amp-api.media.apple.com"," src 192.168.0.199 : 52422 | dst 23.73.140.141 : 443"
1646915219.91219000, Interface, TLS,"apps.mzstatic.com"," src 192.168.0.199 : 52423 | dst 23.73.140.46 : 443"
1646915229.320303000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52424 | dst 64.68.120.47 : 443"
1646915231.240777000, Interface, TLS,"d.dropbox.com"," src 192.168.0.199 : 52425 | dst 162.125.6.20 : 443"
1646915290.290228000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52426 | dst 64.68.120.47 : 443"
1646915290.814328000, Interface, TLS,"mbs.internetbanka.cz"," src 192.168.0.199 : 52427 | dst 195.234.207.122 : 443"
1646915290.815225000, Interface, TLS,"mbs.internetbanka.cz"," src 192.168.0.199 : 52428 | dst 195.234.207.122 : 443"
1646915295.173924000, Interface, TLS,"http-inputs-jamf.splunkcloud.com"," src 192.168.0.199 : 52429 | dst 54.225.151.147 : 443"
1646915306.448715000, Interface, TLS,"gsp-ssl.ls.apple.com"," src 192.168.0.199 : 52430 | dst 17.253.73.207 : 443"
1646915340.58881000, Interface, TLS,"gs-loc.apple.com"," src 192.168.0.199 : 52431 | dst 17.167.200.100 : 443"
1646915342.671710000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52433 | dst 17.167.200.72 : 443"
1646915342.674644000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52434 | dst 17.167.200.72 : 443"
1646915342.879520000, Interface, TLS,"valid.apple.com"," src 192.168.0.199 : 52435 | dst 17.253.73.203 : 443"
1646915343.253470000, Interface, TLS,"ocsp2.apple.com"," src 192.168.0.199 : 52436 | dst 17.253.73.201 : 443"
1646915345.26748000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52438 | dst 104.64.117.26 : 443"
1646915345.31328000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52439 | dst 104.64.117.26 : 443"
1646915345.81965000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52437 | dst 17.167.200.72 : 443"
1646915346.509190000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52441 | dst 104.64.117.26 : 443"
1646915346.567207000, Interface, TLS,"gsa.apple.com"," src 192.168.0.199 : 52440 | dst 17.179.252.2 : 443"
1646915346.613305000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52442 | dst 17.167.200.72 : 443"
1646915347.617789000, Interface, TLS,"gsa.apple.com"," src 192.168.0.199 : 52443 | dst 17.179.252.2 : 443"
1646915348.591156000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52444 | dst 17.167.200.72 : 443"
1646915348.621160000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52445 | dst 17.167.200.72 : 443"
1646915348.887454000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52446 | dst 17.248.173.9 : 443"
1646915348.948260000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52447 | dst 17.248.173.9 : 443"
1646915349.141557000, Interface, TLS,"gsas.apple.com"," src 192.168.0.199 : 52448 | dst 17.179.252.2 : 443"
1646915349.588732000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52449 | dst 2.23.10.41 : 443"
1646915350.416864000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52451 | dst 2.23.10.41 : 443"
1646915350.461557000, Interface, TLS,"gsp64-ssl.ls.apple.com"," src 192.168.0.199 : 52450 | dst 17.167.200.72 : 443"
1646915350.529185000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52452 | dst 104.64.117.26 : 443"
1646915351.25451000, Interface, TLS,"swscan.apple.com"," src 192.168.0.199 : 52453 | dst 2.23.8.209 : 443"
1646915351.228195000, Interface, TLS,"gspe35-ssl.ls.apple.com"," src 192.168.0.199 : 52455 | dst 2.23.8.242 : 443"
1646915351.317997000, Interface, TLS,"tsa3.webex.com"," src 192.168.0.199 : 52454 | dst 64.68.120.47 : 443"
1646915351.547956000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52456 | dst 2.23.10.41 : 443"
1646915351.784632000, Interface, TLS,"ipcdn.apple.com"," src 192.168.0.199 : 52457 | dst 17.253.73.201 : 443"
1646915352.646283000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52458 | dst 104.64.117.26 : 443"
1646915352.758629000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52459 | dst 104.64.117.26 : 443"
1646915354.650616000, Interface, TLS,"swdist.apple.com"," src 192.168.0.199 : 52460 | dst 2.23.8.209 : 443"
1646915365.81571000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52461 | dst 104.64.117.26 : 443"
1646915381.328854000, Interface, TLS,"guzzoni.apple.com"," src 192.168.0.199 : 52462 | dst 15.160.8.1 : 443"
1646915382.356274000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52463 | dst 104.64.117.26 : 443"
1646915384.291522000, Interface, TLS,"configuration.apple.com"," src 192.168.0.199 : 52464 | dst 2.23.8.25 : 443"
1646915384.422592000, Interface, TLS,"gdmf.apple.com"," src 192.168.0.199 : 52465 | dst 17.171.47.28 : 443"
1646915384.790793000, Interface, TLS,"ocsp2.apple.com"," src 192.168.0.199 : 52466 | dst 17.253.73.201 : 443"
1646915385.279838000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52467 | dst 2.23.10.41 : 443"
1646915385.295904000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52468 | dst 2.23.10.41 : 443"
1646915385.383859000, Interface, TLS,"xp.apple.com"," src 192.168.0.199 : 52469 | dst 2.23.10.41 : 443"
1646915397.881846000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52470 | dst 17.248.172.169 : 443"
1646915398.37857000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52471 | dst 104.64.117.26 : 443"
1646915409.323736000, Interface, TLS,"mesu.apple.com"," src 192.168.0.199 : 52472 | dst 104.64.117.26 : 443"
1646915409.808893000, Interface, TLS,"gateway.icloud.com"," src 192.168.0.199 : 52473 | dst 17.248.172.139 : 443"
1646915410.215360000, Interface, TLS,"metrics.icloud.com"," src 192.168.0.199 : 52474 | dst 17.248.172.103 : 443"
