timestamp, source,"url","data"
1646913966.258543, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/bg/icons-svg.svg#icon-symbol","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '405', 'tabId': 31, 'timeStamp': 1646913966258.543, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/bg/icons-svg.svg#icon-symbol'}"
1646913966.26018, Browser, TLS,"www.vut.cz/i/css/fonts/open-sans-regular.woff2","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '406', 'tabId': 31, 'timeStamp': 1646913966260.18, 'type': 'font', 'url': 'https://www.vut.cz/i/css/fonts/open-sans-regular.woff2'}"
1646913966.260353, Browser, TLS,"www.vut.cz/i/css/fonts/vafle-regular.woff2","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '407', 'tabId': 31, 'timeStamp': 1646913966260.353, 'type': 'font', 'url': 'https://www.vut.cz/i/css/fonts/vafle-regular.woff2'}"
1646913966.270247, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/bg/ext.svg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '408', 'tabId': 31, 'timeStamp': 1646913966270.247, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/bg/ext.svg'}"
1646913966.301414, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/spotify_logo.svg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '409', 'tabId': 31, 'timeStamp': 1646913966301.414, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/spotify_logo.svg'}"
1646913966.301487, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/hr_award_icon.svg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '410', 'tabId': 31, 'timeStamp': 1646913966301.487, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/hr_award_icon.svg'}"
1646913966.301533, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/js/svg4everybody.min.js?t=15033006264078","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '411', 'tabId': 31, 'timeStamp': 1646913966301.533, 'type': 'script', 'url': 'https://www.vut.cz/i/images/layout_portal2018/js/svg4everybody.min.js?t=15033006264078'}"
1646913966.301723, Browser, TLS,"cdn.polyfill.io/v2/polyfill.min.js?features=default,Array.prototype.find,Array.prototype.includes","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '412', 'tabId': 31, 'timeStamp': 1646913966301.723, 'type': 'script', 'url': 'https://cdn.polyfill.io/v2/polyfill.min.js?features=default,Array.prototype.find,Array.prototype.includes'}"
1646913966.30189, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/js/app.js?t=4","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '413', 'tabId': 31, 'timeStamp': 1646913966301.89, 'type': 'script', 'url': 'https://www.vut.cz/i/images/layout_portal2018/js/app.js?t=4'}"
1646913966.304433, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/195272/Hero-1024x540_1024.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '414', 'tabId': 31, 'timeStamp': 1646913966304.433, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/195272/Hero-1024x540_1024.jpg'}"
